"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","[gRPC][Postgres] Filter by card id. In progress purchase operation","tests.suites.grpc","Sun Mar 08 18:59:07 UTC 2026","passed","Sun Mar 08 18:59:08 UTC 2026","TestOperationsGRPC","test_operations","",""
"
        Сценарий:
        Пользователь с активным кредитным счётом
        запрашивает агрегированные данные через gateway-service.

        Управляющая переменная теста — сценарий.
        Все данные внешнего мира выбираются через него.
        ","78","[HTTP] Get user details. User with active credit card account","tests.suites.http","Sun Mar 08 18:59:08 UTC 2026","passed","Sun Mar 08 18:59:08 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","513","[gRPC][Kafka] Operation events. Completed purchase operation","tests.suites.grpc","Sun Mar 08 18:59:08 UTC 2026","passed","Sun Mar 08 18:59:08 UTC 2026","TestOperationsGRPC","test_operations","",""
"","12","[gRPC][Postgres] Filter by account id. Completed purchase operation","tests.suites.grpc","Sun Mar 08 18:59:08 UTC 2026","passed","Sun Mar 08 18:59:08 UTC 2026","TestOperationsGRPC","test_operations","",""
"","22","[gRPC] Get user details. User with active credit card account","tests.suites.grpc","Sun Mar 08 18:59:07 UTC 2026","passed","Sun Mar 08 18:59:07 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","12","[HTTP][Postgres] Filter by account id. Completed purchase operation","tests.suites.http","Sun Mar 08 18:59:09 UTC 2026","passed","Sun Mar 08 18:59:09 UTC 2026","TestOperationsHTTP","test_operations","",""
"","555","[HTTP][Kafka] Operation events. In progress purchase operation","tests.suites.http","Sun Mar 08 18:59:08 UTC 2026","passed","Sun Mar 08 18:59:09 UTC 2026","TestOperationsHTTP","test_operations","",""
"","556","[HTTP][Kafka] Operation events. Completed purchase operation","tests.suites.http","Sun Mar 08 18:59:09 UTC 2026","passed","Sun Mar 08 18:59:09 UTC 2026","TestOperationsHTTP","test_operations","",""
"","24","[gRPC] Get account details. User with active debit card account","tests.suites.grpc","Sun Mar 08 18:59:07 UTC 2026","passed","Sun Mar 08 18:59:07 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","560","[gRPC][Kafka] Operation events. In progress purchase operation","tests.suites.grpc","Sun Mar 08 18:59:07 UTC 2026","passed","Sun Mar 08 18:59:07 UTC 2026","TestOperationsGRPC","test_operations","",""
"","13","[HTTP][Postgres] Filter by card id. In progress purchase operation","tests.suites.http","Sun Mar 08 18:59:09 UTC 2026","passed","Sun Mar 08 18:59:09 UTC 2026","TestOperationsHTTP","test_operations","",""
"","56","[HTTP] Get account details. User with active debit card account","tests.suites.http","Sun Mar 08 18:59:08 UTC 2026","passed","Sun Mar 08 18:59:08 UTC 2026","TestGatewayHTTP","test_gateway","",""
